# YSES-1b SINFONI emission data from Zhang et al. (2021), Nat, 595.

# The @DEPTH_UNITS defines the spectrum and uncert units
# (none, percent, ppt, ppm, f_lambda), with f_lambda => W m⁻² μm⁻¹
@DEPTH_UNITS
f_lambda

# The @DATA flag sets the data
# flux            flux_err         wavelength  half_width    instrument
@DATA
 8.91766167e-16   1.86932574e-17     2.165567    0.000000    sinfoni
 9.03163047e-16   1.90187535e-17     2.165818    0.000000    sinfoni
 9.27981188e-16   1.88119243e-17     2.166069    0.000000    sinfoni
 9.29569461e-16   1.90003869e-17     2.166320    0.000000    sinfoni
 9.30485212e-16   1.91451743e-17     2.166571    0.000000    sinfoni
 9.23926404e-16   1.90638231e-17     2.166821    0.000000    sinfoni
 9.18503282e-16   1.88647614e-17     2.167072    0.000000    sinfoni
 8.96336074e-16   1.85361641e-17     2.167323    0.000000    sinfoni
 9.09343234e-16   1.86029163e-17     2.167574    0.000000    sinfoni
 9.11233847e-16   1.88423693e-17     2.167825    0.000000    sinfoni
 9.21853181e-16   1.88137469e-17     2.168076    0.000000    sinfoni
 9.17972658e-16   1.90518801e-17     2.168327    0.000000    sinfoni
 9.28911282e-16   1.93734733e-17     2.168578    0.000000    sinfoni
 9.48214874e-16   1.90188456e-17     2.168829    0.000000    sinfoni
 9.26146210e-16   1.87170951e-17     2.169079    0.000000    sinfoni
 9.07069199e-16   1.87257549e-17     2.169330    0.000000    sinfoni
 8.96815276e-16   1.84900314e-17     2.169581    0.000000    sinfoni
 9.02883837e-16   1.84177875e-17     2.169832    0.000000    sinfoni
 8.88730993e-16   1.85124541e-17     2.170083    0.000000    sinfoni
 8.45881282e-16   1.84132389e-17     2.170334    0.000000    sinfoni
 8.38903434e-16   1.84342085e-17     2.170585    0.000000    sinfoni
 8.56243070e-16   1.91268404e-17     2.170835    0.000000    sinfoni
 8.77051515e-16   1.92025560e-17     2.171086    0.000000    sinfoni
 8.48043952e-16   1.85996842e-17     2.171337    0.000000    sinfoni
 8.66072532e-16   1.85532874e-17     2.171589    0.000000    sinfoni
 8.89151580e-16   1.83592836e-17     2.171839    0.000000    sinfoni
 8.88307977e-16   1.86166271e-17     2.172090    0.000000    sinfoni
 8.84122920e-16   1.89445103e-17     2.172341    0.000000    sinfoni
 8.70553929e-16   1.89839299e-17     2.172592    0.000000    sinfoni
 8.69891520e-16   1.86311083e-17     2.172843    0.000000    sinfoni
 8.74672545e-16   1.83062161e-17     2.173094    0.000000    sinfoni
 8.74710409e-16   1.84682830e-17     2.173345    0.000000    sinfoni
 8.92069066e-16   1.85690811e-17     2.173596    0.000000    sinfoni
 8.90592291e-16   1.86051711e-17     2.173847    0.000000    sinfoni
 8.85223626e-16   1.84334178e-17     2.174097    0.000000    sinfoni
 8.46347053e-16   1.85593998e-17     2.174348    0.000000    sinfoni
 9.00007601e-16   1.85501234e-17     2.174599    0.000000    sinfoni
 9.17832807e-16   1.85970862e-17     2.174850    0.000000    sinfoni
 9.21045938e-16   1.84554185e-17     2.175101    0.000000    sinfoni
 8.90209725e-16   1.85444831e-17     2.175352    0.000000    sinfoni
 8.79661611e-16   1.84187222e-17     2.175603    0.000000    sinfoni
 8.77214443e-16   1.85898038e-17     2.175854    0.000000    sinfoni
 8.50482697e-16   1.87536791e-17     2.176105    0.000000    sinfoni
 8.33172449e-16   1.85943942e-17     2.176356    0.000000    sinfoni
 8.60758282e-16   1.81890988e-17     2.176607    0.000000    sinfoni
 8.58494502e-16   1.80937764e-17     2.176858    0.000000    sinfoni
 8.78336535e-16   1.81720412e-17     2.177109    0.000000    sinfoni
 8.81339375e-16   1.83128398e-17     2.177360    0.000000    sinfoni
 8.69628854e-16   1.82246450e-17     2.177611    0.000000    sinfoni
 8.67510348e-16   1.82746815e-17     2.177862    0.000000    sinfoni
 8.74344255e-16   1.87618546e-17     2.178113    0.000000    sinfoni
 8.63324697e-16   1.92412773e-17     2.178364    0.000000    sinfoni
 8.63717131e-16   1.85253998e-17     2.178615    0.000000    sinfoni
 8.51628494e-16   1.84872506e-17     2.178866    0.000000    sinfoni
 8.75462112e-16   1.87537898e-17     2.179117    0.000000    sinfoni
 8.49817685e-16   1.87858698e-17     2.179368    0.000000    sinfoni
